tag	module	module_label	model	model_label	sub_model	sub_model_label	key_workflow	feature	detail	fields_ready
Base Odoo	hr	Employees	base	Base	-	-	-	Năng lực chuẩn của phân hệ Odoo	Model chuẩn thuộc module hr	-
Base Odoo	hr	Employees	discuss.channel	Discussion Channel	discuss.channel ; discuss.channel.member ; discuss.channel.rtc.session ; mail.followers ; mail.message	Discussion Channel ; Channel Member ; Mail RTC session ; Document Followers ; Message	-	Năng lực chuẩn của phân hệ Odoo	Model chuẩn thuộc module hr	channel_type(Selection), name(Char)
Base Odoo	hr	Employees	hr.contract.type	Contract Type	-	-	-	Năng lực chuẩn của phân hệ Odoo	Model chuẩn thuộc module hr	name(Char)
Base Odoo	hr	Employees	hr.department	Department	hr.department ; hr.employee ; hr.job ; mail.activity ; mail.activity.plan ; mail.followers ; mail.message	Department ; Employee ; Job Position ; Activity ; Activity Plan ; Document Followers ; Message	actions: action_employee_from_department	Năng lực chuẩn của phân hệ Odoo	Model chuẩn thuộc module hr	company_id(Many2one), name(Char)
Base Odoo	hr	Employees	hr.departure.reason	Departure Reason	-	-	-	Năng lực chuẩn của phân hệ Odoo	Model chuẩn thuộc module hr	name(Char)
Base Odoo	hr	Employees	hr.departure.wizard	Departure Wizard	-	-	actions: action_register_departure	Năng lực chuẩn của phân hệ Odoo	Model chuẩn thuộc module hr	departure_date(Date), departure_reason_id(Many2one), employee_id(Many2one)
Base Odoo	hr	Employees	hr.employee	Employee	hr.appraisal ; hr.attendance ; hr.attendance.overtime ; hr.candidate ; hr.contract ; hr.employee ; hr.employee.skill ; hr.payslip ; hr.resume.line ; hr.vn.asset ; hr.vn.decision ; hr.vn.dependent ; hr.vn.si.record ; mail.activity ; mail.followers ; mail.message ; maintenance.equipment ; sht.hr.employee.document ; sht.hr.health.record ; sht.hr.rd ; sht.hr.training	Employee Appraisal ; Attendance ; Attendance Overtime ; Candidate ; Employee Contract ; Employee ; Skill level for an employee ; Pay Slip ; Resume line of an employee ; Tài sản ; Quyết định nhân sự ; Người phụ thuộc ; Hồ sơ bảo hiểm xã hội ; Activity ; Document Followers ; Message ; Maintenance Equipment ; Employee Document ; Hồ sơ khám sức khoẻ nhân viên ; Reward & Discipline Record ; Employee Training Record	actions: action_open_assets, action_open_contract, action_open_decisions, action_open_discipline_records, action_open_employee_documents, action_open_goals, action_open_health_records, action_open_last_appraisal, action_open_last_month_attendances, action_open_last_month_overtime	Năng lực chuẩn của phân hệ Odoo	Model chuẩn thuộc module hr	company_id(Many2one), contract_id(Many2one), department_id(Many2one), distance_home_work_unit(Selection), employee_type(Selection), job_id(Many2one), marital(Selection), name(Char), resource_id(Many2one)
Base Odoo	hr	Employees	hr.employee.base	Basic Employee	-	-	-	Năng lực chuẩn của phân hệ Odoo	Model chuẩn thuộc module hr	company_id(Many2one), department_id(Many2one), job_id(Many2one), name(Char)
Base Odoo	hr	Employees	hr.employee.category	Employee Category	-	-	-	Năng lực chuẩn của phân hệ Odoo	Model chuẩn thuộc module hr	name(Char)
Base Odoo	hr	Employees	hr.employee.public	Public Employee	hr.employee.public ; hr.employee.skill ; hr.resume.line	Public Employee ; Skill level for an employee ; Resume line of an employee	actions: action_send_appraisal_request	Năng lực chuẩn của phân hệ Odoo	Model chuẩn thuộc module hr	company_id(Many2one), department_id(Many2one), employee_id(Many2one), job_id(Many2one), name(Char)
Base Odoo	hr	Employees	hr.job	Job Position	hr.applicant ; hr.employee ; ir.attachment ; mail.followers ; mail.message	Applicant ; Employee ; Attachment ; Document Followers ; Message	actions: action_open_attachments	Năng lực chuẩn của phân hệ Odoo	Model chuẩn thuộc module hr	alias_contact(Selection), alias_defaults(Text), alias_id(Many2one), alias_model_id(Many2one), company_id(Many2one), date_from(Date), date_to(Date), department_id(Many2one), name(Char)
Base Odoo	hr	Employees	hr.manager.department.report	Hr Manager Department Report	-	-	-	Năng lực chuẩn của phân hệ Odoo	Model chuẩn thuộc module hr	employee_id(Many2one)
Base Odoo	hr	Employees	hr.work.location	Work Location	-	-	-	Năng lực chuẩn của phân hệ Odoo	Model chuẩn thuộc module hr	address_id(Many2one), company_id(Many2one), location_type(Selection), name(Char)
Base Odoo	hr	Employees	ir.ui.menu	Menu	ir.ui.menu	Menu	-	Năng lực chuẩn của phân hệ Odoo	Model chuẩn thuộc module hr	name(Char)
Base Odoo	hr	Employees	mail.activity.plan	Activity Plan	mail.activity.plan.template	Activity plan template	-	Năng lực chuẩn của phân hệ Odoo	Model chuẩn thuộc module hr	company_id(Many2one), department_id(Many2one), name(Char), res_model(Selection), res_model_id(Many2one)
Base Odoo	hr	Employees	mail.activity.plan.template	Activity plan template	-	-	-	Năng lực chuẩn của phân hệ Odoo	Model chuẩn thuộc module hr	activity_type_id(Many2one), company_id(Many2one), delay_from(Selection), delay_unit(Selection), plan_id(Many2one), responsible_type(Selection)
Base Odoo	hr	Employees	mail.activity.schedule	Activity schedule plan Wizard	-	-	actions: action_create_calendar_event, action_schedule_activities, action_schedule_activities_done, action_schedule_activities_done_and_schedule, action_schedule_plan	Năng lực chuẩn của phân hệ Odoo	Model chuẩn thuộc module hr	company_id(Many2one), department_id(Many2one), res_model(Char), res_model_id(Many2one)
Base Odoo	hr	Employees	mail.alias	Email Aliases	-	-	actions: open_document, open_parent_document	Năng lực chuẩn của phân hệ Odoo	Model chuẩn thuộc module hr	alias_contact(Selection), alias_defaults(Text), alias_model_id(Many2one)
Base Odoo	hr	Employees	res.company	Companies	hr.appraisal.note ; res.company ; res.partner.bank ; resource.calendar	Appraisal Assessment Note ; Companies ; Bank Accounts ; Resource Working Time	actions: action_all_company_branches	Năng lực chuẩn của phân hệ Odoo	Model chuẩn thuộc module hr	currency_id(Many2one), layout_background(Selection), name(Char), partner_id(Many2one), planning_employee_unavailabilities(Selection), planning_generation_interval(Integer)
Base Odoo	hr	Employees	res.config.settings	Config Settings	hr.appraisal.note	Appraisal Assessment Note	actions: open_company, open_mail_templates, regenerate_kiosk_key	Năng lực chuẩn của phân hệ Odoo	Model chuẩn thuộc module hr	company_id(Many2one), planning_generation_interval(Integer)
Base Odoo	hr	Employees	res.partner	Contact	hr.employee ; library.borrowing ; library.reservation ; mail.activity ; mail.followers ; mail.message ; res.partner ; res.partner.bank ; res.users	Employee ; library.borrowing ; library.reservation ; Activity ; Document Followers ; Message ; Contact ; Bank Accounts ; User	actions: action_open_employees, create_company, mail_action_blacklist_remove, phone_action_blacklist_remove	Năng lực chuẩn của phân hệ Odoo	Model chuẩn thuộc module hr	company_id(Many2one), name(Char)
Base Odoo	hr	Employees	res.partner.bank	Bank Accounts	-	-	actions: action_archive_bank	Năng lực chuẩn của phân hệ Odoo	Model chuẩn thuộc module hr	acc_number(Char), company_id(Many2one), partner_id(Many2one)
Base Odoo	hr	Employees	res.users	User	auth_totp.device ; hr.employee ; hr.employee.skill ; hr.resume.line ; library.borrowing ; library.reservation ; mail.activity ; mail.followers ; mail.message ; maintenance.equipment ; res.device ; res.partner ; res.partner.bank ; res.users ; res.users.apikeys ; res.users.log ; res.users.settings ; resource.resource	Authentication Device ; Employee ; Skill level for an employee ; Resume line of an employee ; library.borrowing ; library.reservation ; Activity ; Document Followers ; Message ; Maintenance Equipment ; Devices ; Contact ; Bank Accounts ; User ; Users API Keys ; Users Log ; User Settings ; Resources	state: new, active | actions: action_open_employees	Năng lực chuẩn của phân hệ Odoo	Model chuẩn thuộc module hr	company_id(Many2one), department_id(Many2one), employee_id(Many2one), login(Char), name(Char), notification_type(Selection), partner_id(Many2one), state(Selection)
Base Odoo	hr	Employees	resource.calendar	Resource Working Time	resource.calendar.attendance ; resource.calendar.leaves	Work Detail ; Resource Time Off Detail	actions: action_open_contracts, switch_calendar_type	Năng lực chuẩn của phân hệ Odoo	Model chuẩn thuộc module hr	company_id(Many2one), name(Char), tz(Selection)
Base Odoo	hr	Employees	resource.resource	Resources	hr.employee ; hr.employee.skill	Employee ; Skill level for an employee	-	Năng lực chuẩn của phân hệ Odoo	Model chuẩn thuộc module hr	company_id(Many2one), department_id(Many2one), employee_id(One2many), name(Char), resource_type(Selection), time_efficiency(Float), tz(Selection)
Base Odoo	hr_appraisal	Appraisals	calendar.event	Calendar Event	calendar.attendee ; mail.activity ; mail.followers ; mail.message	Calendar Attendee Information ; Activity ; Document Followers ; Message	actions: action_join_video_call, action_open_composer, action_send_sms, clear_videocall_location, set_discuss_videocall_location	Năng lực chuẩn của phân hệ Odoo	Model chuẩn thuộc module hr_appraisal	name(Char), show_as(Selection), start(Datetime), stop(Datetime)
Base Odoo	hr_appraisal	Appraisals	hr.appraisal	Employee Appraisal	hr.appraisal.skill ; mail.activity ; mail.followers ; mail.message ; sht.hr.appraisal.line	Employee Skills ; Activity ; Document Followers ; Message ; Dòng đánh giá chi tiết	state: new, pending, done, cancel | actions: action_apply_template, action_back, action_calendar_event, action_cancel, action_confirm, action_done, action_open_employee_appraisals, action_open_goals, action_send_appraisal_request	Năng lực chuẩn của phân hệ Odoo	Model chuẩn thuộc module hr_appraisal	company_id(Many2one), date_close(Date), department_id(Many2one), employee_id(Many2one), job_id(Many2one), state(Selection)
Base Odoo	hr_appraisal	Appraisals	hr.appraisal.goal	Appraisal Goal	mail.activity ; mail.followers ; mail.message	Activity ; Document Followers ; Message	actions: action_confirm	Năng lực chuẩn của phân hệ Odoo	Model chuẩn thuộc module hr_appraisal	company_id(Many2one), employee_id(Many2one), manager_id(Many2one), name(Char), progression(Selection)
Base Odoo	hr_appraisal	Appraisals	hr.appraisal.goal.tag	Appraisal Goal Tags	-	-	-	Năng lực chuẩn của phân hệ Odoo	Model chuẩn thuộc module hr_appraisal	name(Char)
Base Odoo	hr_appraisal	Appraisals	hr.appraisal.note	Appraisal Assessment Note	-	-	-	Năng lực chuẩn của phân hệ Odoo	Model chuẩn thuộc module hr_appraisal	company_id(Many2one), name(Char)
Base Odoo	hr_appraisal	Appraisals	hr.appraisal.report	Appraisal Statistics	-	-	state: new, pending, done, cancel	Năng lực chuẩn của phân hệ Odoo	Model chuẩn thuộc module hr_appraisal	department_id(Many2one), employee_id(Many2one), name(Char), state(Selection)
Base Odoo	hr_appraisal	Appraisals	hr.appraisal.template	Employee Appraisal Template	-	-	-	Năng lực chuẩn của phân hệ Odoo	Model chuẩn thuộc module hr_appraisal	company_id(Many2one), description(Char)
Base Odoo	hr_appraisal	Appraisals	hr.department	Department	hr.department ; hr.employee ; hr.job ; mail.activity ; mail.activity.plan ; mail.followers ; mail.message	Department ; Employee ; Job Position ; Activity ; Activity Plan ; Document Followers ; Message	actions: action_employee_from_department	Năng lực chuẩn của phân hệ Odoo	Model chuẩn thuộc module hr_appraisal	company_id(Many2one), name(Char)
Base Odoo	hr_appraisal	Appraisals	hr.departure.wizard	Departure Wizard	-	-	actions: action_register_departure	Năng lực chuẩn của phân hệ Odoo	Model chuẩn thuộc module hr_appraisal	departure_date(Date), departure_reason_id(Many2one), employee_id(Many2one)
Base Odoo	hr_appraisal	Appraisals	hr.employee	Employee	hr.appraisal ; hr.attendance ; hr.attendance.overtime ; hr.candidate ; hr.contract ; hr.employee ; hr.employee.skill ; hr.payslip ; hr.resume.line ; hr.vn.asset ; hr.vn.decision ; hr.vn.dependent ; hr.vn.si.record ; mail.activity ; mail.followers ; mail.message ; maintenance.equipment ; sht.hr.employee.document ; sht.hr.health.record ; sht.hr.rd ; sht.hr.training	Employee Appraisal ; Attendance ; Attendance Overtime ; Candidate ; Employee Contract ; Employee ; Skill level for an employee ; Pay Slip ; Resume line of an employee ; Tài sản ; Quyết định nhân sự ; Người phụ thuộc ; Hồ sơ bảo hiểm xã hội ; Activity ; Document Followers ; Message ; Maintenance Equipment ; Employee Document ; Hồ sơ khám sức khoẻ nhân viên ; Reward & Discipline Record ; Employee Training Record	actions: action_open_assets, action_open_contract, action_open_decisions, action_open_discipline_records, action_open_employee_documents, action_open_goals, action_open_health_records, action_open_last_appraisal, action_open_last_month_attendances, action_open_last_month_overtime	Năng lực chuẩn của phân hệ Odoo	Model chuẩn thuộc module hr_appraisal	company_id(Many2one), contract_id(Many2one), department_id(Many2one), distance_home_work_unit(Selection), employee_type(Selection), job_id(Many2one), marital(Selection), name(Char), resource_id(Many2one)
Base Odoo	hr_appraisal	Appraisals	hr.employee.base	Basic Employee	-	-	-	Năng lực chuẩn của phân hệ Odoo	Model chuẩn thuộc module hr_appraisal	company_id(Many2one), department_id(Many2one), job_id(Many2one), name(Char)
Base Odoo	hr_appraisal	Appraisals	hr.employee.public	Public Employee	hr.employee.public ; hr.employee.skill ; hr.resume.line	Public Employee ; Skill level for an employee ; Resume line of an employee	actions: action_send_appraisal_request	Năng lực chuẩn của phân hệ Odoo	Model chuẩn thuộc module hr_appraisal	company_id(Many2one), department_id(Many2one), employee_id(Many2one), job_id(Many2one), name(Char)
Base Odoo	hr_appraisal	Appraisals	mail.template	Email Templates	-	-	actions: create_action, open_delete_confirmation_modal	Năng lực chuẩn của phân hệ Odoo	Model chuẩn thuộc module hr_appraisal	name(Char)
Base Odoo	hr_appraisal	Appraisals	request.appraisal	Request an Appraisal	-	-	actions: action_invite	Năng lực chuẩn của phân hệ Odoo	Model chuẩn thuộc module hr_appraisal	appraisal_id(Many2one), author_id(Many2one), employee_id(Many2one), recipient_ids(Many2many)
Base Odoo	hr_appraisal	Appraisals	res.company	Companies	hr.appraisal.note ; res.company ; res.partner.bank ; resource.calendar	Appraisal Assessment Note ; Companies ; Bank Accounts ; Resource Working Time	actions: action_all_company_branches	Năng lực chuẩn của phân hệ Odoo	Model chuẩn thuộc module hr_appraisal	currency_id(Many2one), layout_background(Selection), name(Char), partner_id(Many2one), planning_employee_unavailabilities(Selection), planning_generation_interval(Integer)
Base Odoo	hr_appraisal	Appraisals	res.config.settings	Config Settings	hr.appraisal.note	Appraisal Assessment Note	actions: open_company, open_mail_templates, regenerate_kiosk_key	Năng lực chuẩn của phân hệ Odoo	Model chuẩn thuộc module hr_appraisal	company_id(Many2one), planning_generation_interval(Integer)
